Cst_Cnt,Btl_Cnt,Sta_ID,Depth_ID,Depthm,T_degC,Salnty,O2ml_L,STheta,O2Sat,Oxy_µmol/Kg,BtlNum,RecInd,T_prec,T_qual,S_prec,S_qual,P_qual,O_qual,SThtaq,O2Satq,ChlorA,Chlqua,Phaeop,Phaqua,PO4uM,PO4q,SiO3uM,SiO3qu,NO2uM,NO2q,NO3uM,NO3q,NH3uM,NH3q,C14As1,C14A1p,C14A1q,C14As2,C14A2p,C14A2q,DarkAs,DarkAp,DarkAq,MeanAs,MeanAp,MeanAq,IncTim,LightP,R_Depth,R_TEMP,R_POTEMP,R_SALINITY,R_SIGMA,R_SVA,R_DYNHT,R_O2,R_O2Sat,R_SIO3,R_PO4,R_NO3,R_NO2,R_NH4,R_CHLA,R_PHAEO,R_PRES,R_SAMP,DIC1,DIC2,TA1,TA2,pH2,pH1,DIC Quality Comment
1,11,054.0 056.0,19-4903CR-HY-060-0930-05400560-0078A-3,78,9.83,33.51,,25.819,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,78.0,9.83,9.82,33.51,25.81,218.6,0.18,,,,,,,,,,78,,,,,,,,
1,12,054.0 056.0,19-4903CR-HY-060-0930-05400560-0100A-7,100,9.67,33.58,,25.9,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,100.0,9.67,9.66,33.58,25.9,211.2,0.22,,,,,,,,,,101,,,,,,,,
1,13,054.0 056.0,19-4903CR-HY-060-0930-05400560-0117A-3,117,9.5,33.64,,25.975,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,117.0,9.5,9.49,33.64,25.97,204.5,0.26,,,,,,,,,,118,,,,,,,,
1,14,054.0 056.0,19-4903CR-HY-060-0930-05400560-0125A-7,125,9.32,33.689,,26.043,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,125.0,9.32,9.31,33.689,26.04,198.2,0.27,,,,,,,,,,126,,,,,,,,
1,15,054.0 056.0,19-4903CR-HY-060-0930-05400560-0150A-7,150,8.76,33.847,,26.256,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,150.0,8.76,8.74,33.847,26.25,178.3,0.32,,,,,,,,,,151,,,,,,,,
1,16,054.0 056.0,19-4903CR-HY-060-0930-05400560-0152A-3,152,8.71,33.86,,26.274,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,152.0,8.71,8.69,33.86,26.27,176.7,0.32,,,,,,,,,,153,,,,,,,,
1,17,054.0 056.0,19-4903CR-HY-060-0930-05400560-0200A-7,200,8.53,33.876,,26.315,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,200.0,8.53,8.51,33.876,26.31,173.6,0.41,,,,,,,,,,201,,,,,,,,
1,18,054.0 056.0,19-4903CR-HY-060-0930-05400560-0221A-3,221,8.45,,,,,,,3,2.0,,,9.0,9.0,9.0,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,221.0,8.45,8.43,,,,0.44,,,,,,,,,,222,,,,,,,,
1,19,054.0 056.0,19-4903CR-HY-060-0930-05400560-0250A-7,250,8.26,33.926,,26.396,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,8.26,8.23,33.926,26.39,166.8,0.49,,,,,,,,,,252,,,,,,,,
1,20,054.0 056.0,19-4903CR-HY-060-0930-05400560-0285A-3,285,7.96,33.98,,26.483,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,285.0,7.96,7.93,33.98,26.48,158.9,0.55,,,,,,,,,,287,,,,,,,,
1,21,054.0 056.0,19-4903CR-HY-060-0930-05400560-0300A-7,300,7.77,33.99,,26.519,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,300.0,7.77,7.74,33.99,26.51,155.7,0.57,,,,,,,,,,302,,,,,,,,
1,22,054.0 056.0,19-4903CR-HY-060-0930-05400560-0373A-3,373,6.8,34.04,,26.695,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,373.0,6.8,6.77,34.04,26.69,139.6,0.68,,,,,,,,,,376,,,,,,,,
1,23,054.0 056.0,19-4903CR-HY-060-0930-05400560-0400A-7,400,6.55,34.056,,26.741,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,400.0,6.55,6.51,34.056,26.74,135.4,0.72,,,,,,,,,,403,,,,,,,,
1,24,054.0 056.0,19-4903CR-HY-060-0930-05400560-0500A-7,500,5.78,34.113,,26.885,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,500.0,5.78,5.74,34.113,26.88,122.4,0.85,,,,,,,,,,504,,,,,,,,
1,25,054.0 056.0,19-4903CR-HY-060-0930-05400560-0598A-3,598,5.3,34.16,,26.98,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,598.0,5.3,5.25,34.16,26.98,114.0,0.96,,,,,,,,,,603,,,,,,,,
1,26,054.0 056.0,19-4903CR-HY-060-0930-05400560-0600A-7,600,5.29,34.161,,26.982,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,600.0,5.29,5.24,34.161,26.98,113.9,0.97,,,,,,,,,,605,,,,,,,,
1,27,054.0 056.0,19-4903CR-HY-060-0930-05400560-0700A-7,700,5.01,34.21,,27.054,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,700.0,5.01,4.95,34.21,27.05,107.8,1.08,,,,,,,,,,706,,,,,,,,
1,28,054.0 056.0,19-4903CR-HY-060-0930-05400560-0800A-7,800,4.72,34.261,,27.128,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,800.0,4.72,4.66,34.261,27.12,101.5,1.18,,,,,,,,,,807,,,,,,,,
1,29,054.0 056.0,19-4903CR-HY-060-0930-05400560-0896A-3,896,4.44,34.31,,27.198,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,896.0,4.44,4.37,34.31,27.19,95.4,1.28,,,,,,,,,,904,,,,,,,,
2,30,052.0 075.0,19-4903CR-HY-060-2112-05200750-0000B-3,0,10.1,32.95,,25.335,,,,3,1.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,0.0,10.1,10.1,32.95,25.33,262.9,0.0,,,,,,,,,,0,,,,,,,,
2,31,052.0 075.0,19-4903CR-HY-060-2112-05200750-0010A-3,10,9.89,32.94,,25.363,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,10.0,9.89,9.89,32.94,25.36,260.5,0.02,,,,,,,,,,10,,,,,,,,
2,32,052.0 075.0,19-4903CR-HY-060-2112-05200750-0020A-7,20,9.75,32.939,,25.385,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,20.0,9.75,9.75,32.939,25.38,258.6,0.05,,,,,,,,,,20,,,,,,,,
2,33,052.0 075.0,19-4903CR-HY-060-2112-05200750-0024A-3,24,9.69,32.95,,25.404,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,24.0,9.69,9.69,32.95,25.4,256.9,0.06,,,,,,,,,,24,,,,,,,,
2,34,052.0 075.0,19-4903CR-HY-060-2112-05200750-0030A-7,30,9.52,33.013,,25.48,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,30.0,9.52,9.52,33.013,25.48,249.7,0.07,,,,,,,,,,30,,,,,,,,
2,35,052.0 075.0,19-4903CR-HY-060-2112-05200750-0047A-3,47,9.06,33.24,,25.732,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,47.0,9.06,9.05,33.24,25.73,226.1,0.11,,,,,,,,,,47,,,,,,,,
2,36,052.0 075.0,19-4903CR-HY-060-2112-05200750-0050A-7,50,9.04,33.272,,25.76,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,50.0,9.04,9.03,33.272,25.76,223.5,0.12,,,,,,,,,,50,,,,,,,,
2,37,052.0 075.0,19-4903CR-HY-060-2112-05200750-0071A-3,71,8.92,33.46,,25.926,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,71.0,8.92,8.91,33.46,25.92,208.1,0.17,,,,,,,,,,71,,,,,,,,
2,38,052.0 075.0,19-4903CR-HY-060-2112-05200750-0075A-7,75,8.83,33.488,,25.962,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,75.0,8.83,8.82,33.488,25.96,204.7,0.17,,,,,,,,,,75,,,,,,,,
2,39,052.0 075.0,19-4903CR-HY-060-2112-05200750-0094A-3,94,8.37,33.6,,26.121,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,94.0,8.37,8.36,33.6,26.12,189.9,0.21,,,,,,,,,,95,,,,,,,,
2,40,052.0 075.0,19-4903CR-HY-060-2112-05200750-0100A-7,100,8.26,33.631,,26.162,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,100.0,8.26,8.25,33.631,26.16,186.1,0.22,,,,,,,,,,101,,,,,,,,
2,41,052.0 075.0,19-4903CR-HY-060-2112-05200750-0125A-7,125,7.85,33.745,,26.312,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,125.0,7.85,7.84,33.745,26.31,172.2,0.27,,,,,,,,,,126,,,,,,,,
2,42,052.0 075.0,19-4903CR-HY-060-2112-05200750-0140A-3,140,7.64,33.8,,26.386,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,140.0,7.64,7.63,33.8,26.38,165.4,0.29,,,,,,,,,,141,,,,,,,,
2,43,052.0 075.0,19-4903CR-HY-060-2112-05200750-0150A-7,150,7.5,33.833,,26.432,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,150.0,7.5,7.49,33.833,26.43,161.2,0.31,,,,,,,,,,151,,,,,,,,
2,44,052.0 075.0,19-4903CR-HY-060-2112-05200750-0189A-3,189,6.98,33.93,,26.581,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,189.0,6.98,6.96,33.93,26.58,147.5,0.37,,,,,,,,,,190,,,,,,,,
2,45,052.0 075.0,19-4903CR-HY-060-2112-05200750-0200A-7,200,6.85,33.939,,26.606,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,200.0,6.85,6.83,33.939,26.6,145.3,0.39,,,,,,,,,,201,,,,,,,,
2,46,052.0 075.0,19-4903CR-HY-060-2112-05200750-0250A-7,250,6.32,33.943,,26.68,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,250.0,6.32,6.3,33.943,26.68,138.8,0.46,,,,,,,,,,252,,,,,,,,
2,47,052.0 075.0,19-4903CR-HY-060-2112-05200750-0282A-3,282,6.05,33.95,,26.72,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,282.0,6.05,6.03,33.95,26.72,135.3,0.5,,,,,,,,,,284,,,,,,,,
2,48,052.0 075.0,19-4903CR-HY-060-2112-05200750-0300A-7,300,5.95,33.957,,26.738,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,300.0,5.95,5.92,33.957,26.73,133.7,0.52,,,,,,,,,,302,,,,,,,,
2,49,052.0 075.0,19-4903CR-HY-060-2112-05200750-0379A-3,379,5.6,34.0,,26.816,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,379.0,5.6,5.57,34.0,26.81,127.1,0.63,,,,,,,,,,382,,,,,,,,
2,50,052.0 075.0,19-4903CR-HY-060-2112-05200750-0400A-7,400,5.5,34.016,,26.841,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,400.0,5.5,5.47,34.016,26.84,124.9,0.65,,,,,,,,,,403,,,,,,,,
2,51,052.0 075.0,19-4903CR-HY-060-2112-05200750-0500A-7,500,5.02,34.101,,26.965,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,500.0,5.02,4.98,34.101,26.96,113.9,0.77,,,,,,,,,,504,,,,,,,,
2,52,052.0 075.0,19-4903CR-HY-060-2112-05200750-0565A-3,565,4.74,34.16,,27.044,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,565.0,4.74,4.7,34.16,27.04,106.9,0.85,,,,,,,,,,569,,,,,,,,
2,53,052.0 075.0,19-4903CR-HY-060-2112-05200750-0600A-7,600,4.62,34.188,,27.079,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,600.0,4.62,4.57,34.188,27.07,103.7,0.88,,,,,,,,,,605,,,,,,,,
2,54,052.0 075.0,19-4903CR-HY-060-2112-05200750-0700A-7,700,4.33,34.259,,27.168,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,700.0,4.33,4.28,34.259,27.16,96.0,0.98,,,,,,,,,,706,,,,,,,,
2,55,052.0 075.0,19-4903CR-HY-060-2112-05200750-0800A-7,800,4.08,34.319,,27.243,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,800.0,4.08,4.02,34.319,27.24,89.6,1.07,,,,,,,,,,807,,,,,,,,
2,56,052.0 075.0,19-4903CR-HY-060-2112-05200750-0840A-3,840,3.99,34.34,,27.269,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,840.0,3.99,3.93,34.34,27.26,87.3,1.11,,,,,,,,,,847,,,,,,,,
2,57,052.0 075.0,19-4903CR-HY-060-2112-05200750-0900A-7,900,3.85,34.354,,27.294,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,900.0,3.85,3.78,34.354,27.29,85.1,1.16,,,,,,,,,,908,,,,,,,,
2,58,052.0 075.0,19-4903CR-HY-060-2112-05200750-1000A-7,1000,3.62,34.378,,27.337,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1000.0,3.62,3.55,34.378,27.33,81.5,1.25,,,,,,,,,,1009,,,,,,,,
2,59,052.0 075.0,19-4903CR-HY-060-2112-05200750-1100A-7,1100,3.38,34.403,,27.381,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1100.0,3.38,3.3,34.403,27.38,77.6,1.32,,,,,,,,,,1110,,,,,,,,
2,60,052.0 075.0,19-4903CR-HY-060-2112-05200750-1200A-7,1200,3.15,34.429,,27.423,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1200.0,3.15,3.06,34.429,27.42,73.7,1.4,,,,,,,,,,1211,,,,,,,,
2,61,052.0 075.0,19-4903CR-HY-060-2112-05200750-1203A-3,1203,3.14,34.43,,27.425,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,1203.0,3.14,3.05,34.43,27.42,73.5,1.4,,,,,,,,,,1214,,,,,,,,
3,62,051.0 085.0,19-4903CR-HY-061-0354-05100850-0000B-3,0,10.2,32.63,,25.069,,,,3,1.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,0.0,10.2,10.2,32.63,25.06,288.2,0.0,,,,,,,,,,0,,,,,,,,
3,63,051.0 085.0,19-4903CR-HY-061-0354-05100850-0010A-3,10,10.05,32.66,,25.117,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,10.0,10.05,10.05,32.66,25.11,283.8,0.02,,,,,,,,,,10,,,,,,,,
3,64,051.0 085.0,19-4903CR-HY-061-0354-05100850-0020A-7,20,9.95,32.66,,25.134,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,20.0,9.95,9.95,32.66,25.13,282.4,0.05,,,,,,,,,,20,,,,,,,,
3,65,051.0 085.0,19-4903CR-HY-061-0354-05100850-0022A-3,22,9.94,32.66,,25.136,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,22.0,9.94,9.94,32.66,25.13,282.3,0.06,,,,,,,,,,22,,,,,,,,
3,66,051.0 085.0,19-4903CR-HY-061-0354-05100850-0030A-7,30,9.92,32.673,,25.15,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,30.0,9.92,9.92,32.673,25.15,281.1,0.08,,,,,,,,,,30,,,,,,,,
3,67,051.0 085.0,19-4903CR-HY-061-0354-05100850-0038A-3,38,9.87,32.68,,25.163,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,38.0,9.87,9.87,32.68,25.16,280.0,0.1,,,,,,,,,,38,,,,,,,,
3,68,051.0 085.0,19-4903CR-HY-061-0354-05100850-0049A-3,49,9.62,32.75,,25.259,,,,3,2.0,,2.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,49.0,9.62,9.61,32.75,25.25,271.1,0.13,,,,,,,,,,49,,,,,,,,
3,69,051.0 085.0,19-4903CR-HY-061-0354-05100850-0050A-7,50,9.66,32.736,,25.242,,,,7,2.0,,3.0,,9.0,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,9.0,,,9.0,,,9.0,,,9.0,,,9.0,,,50.0,9.66,9.65,32.736,25.24,272.8,0.14,,,,,,,,,,50,,,,,,,,
